"","Predicted Yield"
"1",8.6
"2",12.5
"3",14.2
"4",15
"5",33.3
"6",19.8
"7",20
"8",24.6
"9",27.2
"10",47.6
"11",17.4
"12",20.3
"13",26.4
"14",27.7
"15",52
"16",17.8
"17",20.9
"18",26.5
"19",24.1
"20",57.5
"21",8.6
"22",12.5
"23",14.2
"24",15
"25",33.3
"26",19.8
"27",20
"28",24.6
"29",27.2
"30",47.6
"31",17.4
"32",20.3
"33",26.4
"34",27.7
"35",52
"36",17.8
"37",20.9
"38",26.5
"39",24.1
"40",57.5
"41",8.6
"42",12.5
"43",14.2
"44",15
"45",33.3
"46",19.8
"47",20
"48",24.6
"49",27.2
"50",47.6
"51",17.4
"52",20.3
"53",26.4
"54",27.7
"55",52
"56",17.8
"57",20.9
"58",26.5
"59",24.1
"60",57.5
"61",8.6
"62",12.5
"63",14.2
"64",15
"65",33.3
"66",19.8
"67",20
"68",24.6
"69",27.2
"70",47.6
"71",17.4
"72",20.3
"73",26.4
"74",27.7
"75",52
"76",17.8
"77",20.9
"78",26.5
"79",24.1
"80",57.5
"81",8.6
"82",12.5
"83",14.2
"84",15
"85",33.3
"86",19.8
"87",20
"88",24.6
"89",27.2
"90",47.6
"91",17.4
"92",20.3
"93",26.4
"94",27.7
"95",52
"96",17.8
"97",20.9
"98",26.5
"99",24.1
"100",57.5
